0,快乐,1
1,安心,1
2,尊敬,2
3,赞扬,2
4,相信,2
5,喜爱,2
6,祝愿,2
7,愤怒,3
8,哀伤,4
9,失望,4
10,内疚,4
11,哀思,4
12,慌张,5
13,畏惧,5
14,害羞,5
15,烦闷,6
16,憎恶,6
17,贬责,6
18,妒忌,6
19,怀疑,6
20,惊奇,7
